Jugadora,Mes,Fecha,Tipo,DistTotal_m,DistAltaVel_m,Sprints,Acel_Alta,Decel_Alta,CargaMetabolica,DistPorMin
Feller Caldentey Rubio,August,2025-08-06,E,5610,619,0,56,55,7013,74.81
Olga Sampedro Méndez,August,2025-08-06,E,5045,440,3,39,24,6307,67.28
Esther Banini Valls,August,2025-08-06,E,5427,487,0,46,19,6784,72.37
Amaia Gutiérrez Peña,August,2025-08-06,E,7392,779,7,49,56,9240,98.56
Lucía Rodríguez Szymanowski,August,2025-08-06,E,6627,692,4,35,29,8284,88.37
Sheila Vidal Gabarro,August,2025-08-06,E,7263,791,3,20,51,9079,96.85
Enith Landaluze Goiria,August,2025-08-06,E,6426,378,1,34,41,8032,85.68
Lorena Méndez Molina,August,2025-08-06,E,5927,425,4,24,22,7409,79.04
Ivana Pujol Muñoz,August,2025-08-06,E,6701,672,0,52,13,8376,89.35
Garazi Iraia Díaz,August,2025-08-06,E,7330,846,2,21,54,9163,97.74
Enith Urruzola Elexpuru,August,2025-08-06,E,6466,534,6,42,51,8082,86.22
Amaiur Putellas Sampedro,August,2025-08-06,E,6896,797,6,35,43,8620,91.95
Garazi Gil Padrón,August,2025-08-06,E,7538,889,0,15,21,9423,100.51
Lola Zubeldia Ojeda,August,2025-08-06,E,6853,478,6,35,58,8566,91.38
Inés Rius Badiola,August,2025-08-07,E,2378,161,4,42,46,2972,31.71
Berta Damaris Zubeldia,August,2025-08-07,E,2799,302,7,49,40,3498,37.32
Triana Duggan Cano,August,2025-08-07,E,5979,535,4,30,52,7474,79.73
Feller Caldentey Rubio,August,2025-08-07,E,5838,509,3,54,31,7297,77.84
Olga Sampedro Méndez,August,2025-08-07,E,5347,447,1,16,49,6684,71.3
Esther Banini Valls,August,2025-08-07,E,6170,493,2,36,45,7712,82.27
Amaia Gutiérrez Peña,August,2025-08-07,E,6376,571,4,51,12,7970,85.02
Lucía Rodríguez Szymanowski,August,2025-08-07,E,6925,428,2,37,45,8656,92.34
Sheila Vidal Gabarro,August,2025-08-07,E,6399,495,4,22,58,7999,85.32
Lorena Méndez Molina,August,2025-08-07,E,5717,535,2,32,32,7147,76.24
Ivana Pujol Muñoz,August,2025-08-07,E,7498,813,2,51,17,9372,99.98
Garazi Iraia Díaz,August,2025-08-07,E,7463,878,3,53,21,9329,99.52
Enith Urruzola Elexpuru,August,2025-08-07,E,6306,621,1,33,56,7883,84.09
Amaiur Putellas Sampedro,August,2025-08-07,E,6905,722,2,10,55,8631,92.07
Garazi Gil Padrón,August,2025-08-07,E,6647,448,1,32,59,8309,88.63
Adriana Putellas Coll,August,2025-08-07,E,6785,764,1,26,47,8482,90.48
Lola Zubeldia Ojeda,August,2025-08-07,E,7138,623,6,47,34,8923,95.18
Inés Rius Badiola,August,2025-08-08,E,2357,276,6,40,53,2946,31.43
Berta Damaris Zubeldia,August,2025-08-08,E,3074,210,7,38,24,3842,40.99
Triana Duggan Cano,August,2025-08-08,E,6058,353,4,45,18,7573,80.78
Feller Caldentey Rubio,August,2025-08-08,E,5693,632,4,43,25,7117,75.92
Olga Sampedro Méndez,August,2025-08-08,E,6166,722,7,50,59,7708,82.22
Esther Banini Valls,August,2025-08-08,E,5206,430,5,19,42,6507,69.42
Amaia Gutiérrez Peña,August,2025-08-08,E,6788,696,1,43,43,8485,90.51
Lucía Rodríguez Szymanowski,August,2025-08-08,E,7579,642,0,31,54,9474,101.06
Sheila Vidal Gabarro,August,2025-08-08,E,6605,629,0,58,15,8256,88.07
Enith Landaluze Goiria,August,2025-08-08,E,6728,356,6,56,41,8410,89.71
Lorena Méndez Molina,August,2025-08-08,E,6220,566,5,39,59,7775,82.94
Ivana Pujol Muñoz,August,2025-08-08,E,6592,683,0,11,41,8240,87.9
Garazi Iraia Díaz,August,2025-08-08,E,6940,821,3,40,17,8675,92.54
Enith Urruzola Elexpuru,August,2025-08-08,E,6766,539,5,53,34,8458,90.22
Amaiur Putellas Sampedro,August,2025-08-08,E,7248,720,0,30,51,9060,96.65
Garazi Gil Padrón,August,2025-08-08,E,7565,665,5,17,25,9457,100.88
Adriana Putellas Coll,August,2025-08-08,E,6665,648,6,48,15,8332,88.88
Inés Rius Badiola,August,2025-08-10,P,2181,168,13,13,24,2726,22.96
Berta Damaris Zubeldia,August,2025-08-10,P,2385,162,26,10,22,2981,25.11
Triana Duggan Cano,August,2025-08-10,P,9913,650,23,48,36,12392,104.36
Feller Caldentey Rubio,August,2025-08-10,P,12079,875,25,24,40,15099,127.15
Olga Sampedro Méndez,August,2025-08-10,P,12209,861,10,33,14,15261,128.52
Esther Banini Valls,August,2025-08-10,P,12079,780,1,44,16,15098,127.15
Amaia Gutiérrez Peña,August,2025-08-10,P,15280,825,6,11,31,19100,160.85
Lucía Rodríguez Szymanowski,August,2025-08-10,P,14963,1697,29,57,35,18704,157.52
Enith Landaluze Goiria,August,2025-08-10,P,15359,1730,19,34,16,19199,161.68
Lorena Méndez Molina,August,2025-08-10,P,11823,641,2,29,32,14779,124.46
Ivana Pujol Muñoz,August,2025-08-10,P,14541,1498,16,13,37,18176,153.07
Garazi Iraia Díaz,August,2025-08-10,P,15098,1452,1,34,27,18873,158.94
Enith Urruzola Elexpuru,August,2025-08-10,P,14183,880,20,37,21,17729,149.3
Amaiur Putellas Sampedro,August,2025-08-10,P,13815,1251,19,45,13,17269,145.43
Adriana Putellas Coll,August,2025-08-10,P,13471,903,24,53,54,16839,141.81
Lola Zubeldia Ojeda,August,2025-08-10,P,14820,1563,3,13,30,18526,156.01
Inés Rius Badiola,August,2025-08-11,E,2128,151,3,32,32,2660,28.37
Berta Damaris Zubeldia,August,2025-08-11,E,3422,408,4,34,38,4277,45.63
Triana Duggan Cano,August,2025-08-11,E,5738,301,2,52,50,7172,76.51
Feller Caldentey Rubio,August,2025-08-11,E,5276,555,2,50,38,6596,70.36
Olga Sampedro Méndez,August,2025-08-11,E,6161,402,7,25,55,7702,82.16
Esther Banini Valls,August,2025-08-11,E,5286,405,0,21,52,6608,70.49
Amaia Gutiérrez Peña,August,2025-08-11,E,7325,726,5,30,35,9157,97.68
Lucía Rodríguez Szymanowski,August,2025-08-11,E,7585,760,0,57,23,9482,101.15
Sheila Vidal Gabarro,August,2025-08-11,E,6840,375,4,46,16,8550,91.2
Enith Landaluze Goiria,August,2025-08-11,E,7063,703,2,34,45,8828,94.18
Lorena Méndez Molina,August,2025-08-11,E,5777,589,1,50,13,7222,77.04
Ivana Pujol Muñoz,August,2025-08-11,E,7115,392,6,15,45,8894,94.87
Garazi Iraia Díaz,August,2025-08-11,E,6933,562,1,45,47,8666,92.44
Enith Urruzola Elexpuru,August,2025-08-11,E,6902,712,1,20,16,8627,92.03
Amaiur Putellas Sampedro,August,2025-08-11,E,6730,492,2,26,23,8412,89.74
Garazi Gil Padrón,August,2025-08-11,E,6448,762,3,32,59,8060,85.98
Adriana Putellas Coll,August,2025-08-11,E,7668,795,0,37,22,9585,102.24
Lola Zubeldia Ojeda,August,2025-08-11,E,6609,725,1,27,25,8262,88.13
Inés Rius Badiola,August,2025-08-12,E,2288,149,1,14,10,2860,30.51
Berta Damaris Zubeldia,August,2025-08-12,E,2684,265,2,58,27,3355,35.79
Triana Duggan Cano,August,2025-08-12,E,5199,315,5,25,19,6498,69.32
Feller Caldentey Rubio,August,2025-08-12,E,4948,368,2,43,57,6185,65.98
Olga Sampedro Méndez,August,2025-08-12,E,5617,613,1,35,26,7021,74.9
Lucía Rodríguez Szymanowski,August,2025-08-12,E,7455,632,6,27,46,9319,99.41
Sheila Vidal Gabarro,August,2025-08-12,E,7572,612,0,58,39,9465,100.97
Enith Landaluze Goiria,August,2025-08-12,E,7485,396,7,31,20,9357,99.81
Lorena Méndez Molina,August,2025-08-12,E,5301,470,3,36,33,6627,70.69
Ivana Pujol Muñoz,August,2025-08-12,E,6717,341,1,50,41,8397,89.57
Enith Urruzola Elexpuru,August,2025-08-12,E,6986,434,2,56,44,8732,93.15
Amaiur Putellas Sampedro,August,2025-08-12,E,7510,450,7,43,31,9388,100.15
Garazi Gil Padrón,August,2025-08-12,E,6965,534,5,56,48,8706,92.87
Adriana Putellas Coll,August,2025-08-12,E,6936,618,7,18,18,8670,92.48
Lola Zubeldia Ojeda,August,2025-08-12,E,6822,489,5,48,24,8528,90.97
Inés Rius Badiola,August,2025-08-13,E,3104,249,5,52,58,3880,41.39
Berta Damaris Zubeldia,August,2025-08-13,E,2364,126,4,49,15,2955,31.52
Triana Duggan Cano,August,2025-08-13,E,6066,517,4,58,56,7583,80.89
Olga Sampedro Méndez,August,2025-08-13,E,5522,654,0,22,11,6902,73.63
Esther Banini Valls,August,2025-08-13,E,5940,618,6,26,42,7425,79.21
Amaia Gutiérrez Peña,August,2025-08-13,E,7685,836,4,48,37,9607,102.48
Lucía Rodríguez Szymanowski,August,2025-08-13,E,7496,434,5,39,38,9371,99.96
Sheila Vidal Gabarro,August,2025-08-13,E,7611,863,1,11,56,9514,101.48
Enith Landaluze Goiria,August,2025-08-13,E,6933,742,6,42,27,8667,92.45
Lorena Méndez Molina,August,2025-08-13,E,5256,393,5,15,34,6570,70.09
Ivana Pujol Muñoz,August,2025-08-13,E,7205,566,1,32,32,9006,96.07
Garazi Iraia Díaz,August,2025-08-13,E,6490,719,5,42,57,8113,86.55
Enith Urruzola Elexpuru,August,2025-08-13,E,7115,595,6,34,57,8894,94.88
Amaiur Putellas Sampedro,August,2025-08-13,E,6812,500,1,44,47,8516,90.84
Garazi Gil Padrón,August,2025-08-13,E,7283,674,4,56,43,9104,97.11
Adriana Putellas Coll,August,2025-08-13,E,7429,849,0,37,28,9286,99.05
Lola Zubeldia Ojeda,August,2025-08-13,E,7113,672,0,51,30,8891,94.84
Inés Rius Badiola,August,2025-08-14,E,2714,296,7,56,29,3392,36.19
Berta Damaris Zubeldia,August,2025-08-14,E,2942,315,0,15,44,3677,39.23
Triana Duggan Cano,August,2025-08-14,E,5179,600,7,57,27,6473,69.06
Feller Caldentey Rubio,August,2025-08-14,E,5622,309,2,52,40,7028,74.97
Olga Sampedro Méndez,August,2025-08-14,E,5323,280,5,39,33,6654,70.98
Esther Banini Valls,August,2025-08-14,E,5175,404,2,39,59,6469,69.0
Amaia Gutiérrez Peña,August,2025-08-14,E,6710,382,6,56,35,8388,89.47
Lucía Rodríguez Szymanowski,August,2025-08-14,E,7563,564,0,50,29,9454,100.85
Sheila Vidal Gabarro,August,2025-08-14,E,7643,660,2,14,43,9554,101.92
Enith Landaluze Goiria,August,2025-08-14,E,7566,400,4,28,20,9458,100.89
Lorena Méndez Molina,August,2025-08-14,E,5763,583,7,48,34,7204,76.85
Ivana Pujol Muñoz,August,2025-08-14,E,7494,664,3,41,31,9368,99.93
Garazi Iraia Díaz,August,2025-08-14,E,6722,573,3,48,31,8402,89.63
Enith Urruzola Elexpuru,August,2025-08-14,E,6817,761,2,45,19,8521,90.89
Amaiur Putellas Sampedro,August,2025-08-14,E,6651,797,5,56,50,8314,88.68
Garazi Gil Padrón,August,2025-08-14,E,6850,438,6,38,33,8562,91.34
Adriana Putellas Coll,August,2025-08-14,E,6635,549,3,55,14,8294,88.47
Lola Zubeldia Ojeda,August,2025-08-14,E,6824,387,1,32,28,8530,90.99
Inés Rius Badiola,August,2025-08-15,E,3002,292,4,39,30,3752,40.03
Berta Damaris Zubeldia,August,2025-08-15,E,2192,201,3,51,28,2740,29.23
Triana Duggan Cano,August,2025-08-15,E,5402,631,3,34,35,6753,72.04
Feller Caldentey Rubio,August,2025-08-15,E,5473,514,7,44,45,6841,72.98
Olga Sampedro Méndez,August,2025-08-15,E,5553,458,4,55,42,6942,74.05
Amaia Gutiérrez Peña,August,2025-08-15,E,7498,582,1,27,47,9373,99.98
Lucía Rodríguez Szymanowski,August,2025-08-15,E,6830,622,0,47,32,8538,91.08
Sheila Vidal Gabarro,August,2025-08-15,E,7439,845,4,53,10,9299,99.2
Enith Landaluze Goiria,August,2025-08-15,E,7643,431,0,45,40,9554,101.92
Lorena Méndez Molina,August,2025-08-15,E,5987,486,1,28,25,7484,79.83
Ivana Pujol Muñoz,August,2025-08-15,E,6410,712,5,22,24,8013,85.47
Garazi Iraia Díaz,August,2025-08-15,E,6884,364,1,19,24,8605,91.79
Enith Urruzola Elexpuru,August,2025-08-15,E,7375,630,2,29,21,9219,98.34
Amaiur Putellas Sampedro,August,2025-08-15,E,6719,580,2,45,50,8399,89.59
Garazi Gil Padrón,August,2025-08-15,E,7171,794,1,37,47,8963,95.62
Adriana Putellas Coll,August,2025-08-15,E,7139,472,3,20,20,8924,95.19
Lola Zubeldia Ojeda,August,2025-08-15,E,7571,394,1,13,23,9464,100.95
Inés Rius Badiola,August,2025-08-17,P,3401,321,18,45,31,4251,35.8
Berta Damaris Zubeldia,August,2025-08-17,P,3307,171,6,51,22,4133,34.81
Triana Duggan Cano,August,2025-08-17,P,10875,867,6,42,35,13594,114.48
Feller Caldentey Rubio,August,2025-08-17,P,9841,973,20,56,27,12301,103.59
Olga Sampedro Méndez,August,2025-08-17,P,11811,1273,16,36,43,14764,124.33
Esther Banini Valls,August,2025-08-17,P,10129,928,27,37,57,12662,106.63
Amaia Gutiérrez Peña,August,2025-08-17,P,15147,1811,8,39,26,18934,159.45
Sheila Vidal Gabarro,August,2025-08-17,P,14975,1085,24,27,48,18718,157.63
Enith Landaluze Goiria,August,2025-08-17,P,14746,1201,29,11,21,18432,155.22
Lorena Méndez Molina,August,2025-08-17,P,10452,523,10,38,12,13065,110.02
Ivana Pujol Muñoz,August,2025-08-17,P,13309,877,29,20,43,16637,140.1
Garazi Iraia Díaz,August,2025-08-17,P,13425,924,18,51,26,16782,141.33
Enith Urruzola Elexpuru,August,2025-08-17,P,14039,909,3,47,47,17549,147.79
Amaiur Putellas Sampedro,August,2025-08-17,P,12981,1434,20,30,51,16227,136.65
Garazi Gil Padrón,August,2025-08-17,P,15308,1630,26,49,26,19136,161.15
Adriana Putellas Coll,August,2025-08-17,P,13036,1116,14,19,39,16296,137.23
Lola Zubeldia Ojeda,August,2025-08-17,P,14202,1468,0,22,18,17752,149.5
Inés Rius Badiola,August,2025-08-18,E,2344,256,5,17,24,2930,31.25
Berta Damaris Zubeldia,August,2025-08-18,E,3019,299,0,54,47,3773,40.25
Triana Duggan Cano,August,2025-08-18,E,5600,596,2,28,42,7000,74.67
Feller Caldentey Rubio,August,2025-08-18,E,6234,396,4,46,49,7792,83.12
Olga Sampedro Méndez,August,2025-08-18,E,5765,455,2,10,29,7207,76.88
Esther Banini Valls,August,2025-08-18,E,5077,572,6,16,14,6347,67.7
Lucía Rodríguez Szymanowski,August,2025-08-18,E,7095,541,5,48,22,8868,94.6
Sheila Vidal Gabarro,August,2025-08-18,E,6543,696,6,12,41,8179,87.25
Enith Landaluze Goiria,August,2025-08-18,E,6770,599,1,16,44,8463,90.28
Lorena Méndez Molina,August,2025-08-18,E,5429,304,1,27,54,6787,72.4
Ivana Pujol Muñoz,August,2025-08-18,E,6464,350,0,43,41,8080,86.2
Enith Urruzola Elexpuru,August,2025-08-18,E,7451,605,0,47,48,9314,99.35
Garazi Gil Padrón,August,2025-08-18,E,7348,551,4,21,51,9185,97.97
Adriana Putellas Coll,August,2025-08-18,E,6308,412,1,32,21,7885,84.11
Lola Zubeldia Ojeda,August,2025-08-18,E,7635,757,1,36,37,9544,101.8
Inés Rius Badiola,August,2025-08-19,E,2738,307,1,24,26,3422,36.51
Berta Damaris Zubeldia,August,2025-08-19,E,2433,191,7,15,25,3041,32.44
Triana Duggan Cano,August,2025-08-19,E,5200,299,2,16,21,6500,69.34
Feller Caldentey Rubio,August,2025-08-19,E,5657,565,6,41,17,7072,75.44
Olga Sampedro Méndez,August,2025-08-19,E,6296,533,3,11,13,7870,83.96
Esther Banini Valls,August,2025-08-19,E,4968,593,7,19,15,6211,66.25
Amaia Gutiérrez Peña,August,2025-08-19,E,6561,519,4,14,32,8201,87.49
Lucía Rodríguez Szymanowski,August,2025-08-19,E,6593,628,0,45,39,8242,87.92
Sheila Vidal Gabarro,August,2025-08-19,E,7387,558,3,25,36,9234,98.5
Enith Landaluze Goiria,August,2025-08-19,E,6434,688,0,30,56,8043,85.8
Lorena Méndez Molina,August,2025-08-19,E,4964,377,3,58,58,6205,66.19
Ivana Pujol Muñoz,August,2025-08-19,E,6754,732,3,40,26,8443,90.06
Garazi Iraia Díaz,August,2025-08-19,E,7688,899,4,49,11,9610,102.51
Enith Urruzola Elexpuru,August,2025-08-19,E,7361,415,0,18,20,9202,98.16
Amaiur Putellas Sampedro,August,2025-08-19,E,6984,454,5,28,40,8731,93.13
Garazi Gil Padrón,August,2025-08-19,E,7229,691,5,58,47,9036,96.39
Adriana Putellas Coll,August,2025-08-19,E,7273,695,2,22,28,9091,96.98
Lola Zubeldia Ojeda,August,2025-08-19,E,6671,548,6,17,11,8339,88.96
Inés Rius Badiola,August,2025-08-20,E,2008,189,1,54,20,2510,26.77
Berta Damaris Zubeldia,August,2025-08-20,E,2951,237,5,48,40,3688,39.35
Triana Duggan Cano,August,2025-08-20,E,5757,609,0,22,36,7197,76.77
Feller Caldentey Rubio,August,2025-08-20,E,5440,491,0,19,48,6801,72.54
Olga Sampedro Méndez,August,2025-08-20,E,5816,295,4,59,14,7270,77.55
Esther Banini Valls,August,2025-08-20,E,6097,690,1,53,59,7622,81.3
Amaia Gutiérrez Peña,August,2025-08-20,E,6408,712,2,58,47,8010,85.44
Lucía Rodríguez Szymanowski,August,2025-08-20,E,7545,766,7,11,30,9431,100.61
Sheila Vidal Gabarro,August,2025-08-20,E,6516,538,0,53,11,8145,86.88
Enith Landaluze Goiria,August,2025-08-20,E,6992,725,2,35,11,8740,93.24
Lorena Méndez Molina,August,2025-08-20,E,5352,611,6,18,31,6691,71.37
Ivana Pujol Muñoz,August,2025-08-20,E,6349,644,7,20,17,7936,84.66
Amaiur Putellas Sampedro,August,2025-08-20,E,6697,391,7,21,55,8372,89.31
Garazi Gil Padrón,August,2025-08-20,E,6687,745,2,29,59,8359,89.17
Adriana Putellas Coll,August,2025-08-20,E,6301,481,0,58,36,7876,84.02
Lola Zubeldia Ojeda,August,2025-08-20,E,6324,611,0,30,24,7906,84.33
Inés Rius Badiola,August,2025-08-21,E,3374,356,6,56,27,4217,44.99
Berta Damaris Zubeldia,August,2025-08-21,E,3177,294,5,34,47,3971,42.36
Triana Duggan Cano,August,2025-08-21,E,5575,401,0,41,23,6969,74.34
Feller Caldentey Rubio,August,2025-08-21,E,6257,443,4,51,19,7821,83.43
Olga Sampedro Méndez,August,2025-08-21,E,5775,479,5,34,52,7219,77.01
Esther Banini Valls,August,2025-08-21,E,6219,380,7,18,20,7774,82.92
Amaia Gutiérrez Peña,August,2025-08-21,E,6617,627,1,46,55,8272,88.24
Lucía Rodríguez Szymanowski,August,2025-08-21,E,6389,723,3,41,17,7987,85.2
Sheila Vidal Gabarro,August,2025-08-21,E,7610,779,4,13,15,9512,101.47
Enith Landaluze Goiria,August,2025-08-21,E,7354,875,1,14,55,9192,98.06
Lorena Méndez Molina,August,2025-08-21,E,5283,395,6,19,56,6604,70.45
Ivana Pujol Muñoz,August,2025-08-21,E,7206,579,5,24,20,9007,96.08
Garazi Iraia Díaz,August,2025-08-21,E,6338,447,2,40,39,7922,84.51
Enith Urruzola Elexpuru,August,2025-08-21,E,7340,762,4,42,23,9176,97.88
Amaiur Putellas Sampedro,August,2025-08-21,E,7495,843,5,32,46,9369,99.94
Garazi Gil Padrón,August,2025-08-21,E,7686,598,6,44,27,9607,102.48
Adriana Putellas Coll,August,2025-08-21,E,7473,762,1,18,49,9342,99.65
Lola Zubeldia Ojeda,August,2025-08-21,E,6629,787,4,49,31,8287,88.4
Inés Rius Badiola,August,2025-08-22,E,3391,349,2,42,39,4238,45.21
Berta Damaris Zubeldia,August,2025-08-22,E,2824,245,5,45,57,3530,37.65
Triana Duggan Cano,August,2025-08-22,E,5318,519,0,19,54,6647,70.91
Feller Caldentey Rubio,August,2025-08-22,E,5639,518,7,25,11,7048,75.19
Esther Banini Valls,August,2025-08-22,E,5377,618,5,40,22,6722,71.7
Amaia Gutiérrez Peña,August,2025-08-22,E,6481,469,1,10,45,8102,86.43
Lucía Rodríguez Szymanowski,August,2025-08-22,E,6778,564,4,52,57,8473,90.38
Sheila Vidal Gabarro,August,2025-08-22,E,6634,625,5,30,32,8292,88.46
Enith Landaluze Goiria,August,2025-08-22,E,7060,730,1,42,51,8826,94.15
Lorena Méndez Molina,August,2025-08-22,E,5695,326,5,29,37,7118,75.93
Ivana Pujol Muñoz,August,2025-08-22,E,6808,810,3,30,56,8510,90.77
Garazi Iraia Díaz,August,2025-08-22,E,6549,717,2,51,13,8186,87.32
Enith Urruzola Elexpuru,August,2025-08-22,E,6525,694,3,56,16,8157,87.01
Amaiur Putellas Sampedro,August,2025-08-22,E,6733,395,7,51,52,8416,89.77
Garazi Gil Padrón,August,2025-08-22,E,7504,864,6,20,57,9381,100.07
Adriana Putellas Coll,August,2025-08-22,E,6473,580,2,20,30,8091,86.31
Lola Zubeldia Ojeda,August,2025-08-22,E,7422,565,4,37,13,9278,98.97
Inés Rius Badiola,August,2025-08-24,P,2766,329,13,52,27,3457,29.12
Berta Damaris Zubeldia,August,2025-08-24,P,2315,141,25,14,27,2893,24.37
Triana Duggan Cano,August,2025-08-24,P,11613,710,8,36,58,14517,122.25
Feller Caldentey Rubio,August,2025-08-24,P,12328,625,8,18,30,15411,129.78
Olga Sampedro Méndez,August,2025-08-24,P,11370,971,13,24,47,14212,119.69
